Year,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1970,9.347999999999999,14.96,3.787
1962,13.427,19.35,7.456
2014,9.589,15.529000000000002,3.617
1961,3.683,9.299,-1.895
1917,2.133,7.847999999999999,-3.782
1945,2.6460000000000004,8.373,-3.044
1908,7.831999999999999,13.853,1.735
1933,8.125,14.046,2.003
1869,3.864,9.618,-2.406
2006,10.289,15.925,4.795999999999999
1894,13.488,19.326,7.363999999999999
1925,8.442,14.538,2.178
1864,10.956,16.908,4.849
1999,3.544,8.876999999999997,-1.7320000000000002
1876,13.130999999999998,18.887999999999998,6.7700000000000005
1962,9.468,15.225999999999999,3.774
1950,3.528,9.123,-2.071
1968,2.353,7.866999999999999,-3.0620000000000003
1989,2.71,8.094999999999999,-2.5980000000000003
1964,5.9830000000000005,11.609000000000002,0.483
1962,12.017999999999999,17.845000000000006,6.313
1921,3.125,9.17,-2.8160000000000003
1965,5.182,11.22,-0.7350000000000001
1950,9.152999999999999,14.918,3.452
1949,8.344,14.41,2.364
1993,3.745,9.42,-1.7440000000000002
1994,4.113,9.313,-1.102
1963,12.555,18.306,6.724
1945,2.525,8.126999999999999,-2.907
1912,4.356,10.725,-1.9809999999999999
1886,14.226,20.004,8.055
