Year,AverageTemperature
1902,14.977
1915,26.41200000000001
1875,28.135
1889,26.91
1805,-7.357
1938,27.446
1973,31.684
1863,24.749
1949,20.472
1948,28.762
1953,27.423
1909,-3.2510000000000003
1908,25.264
1863,4.952
1964,19.864
2005,18.823
1870,21.371
1957,16.401
1884,33.626
1776,22.441
1961,15.956
2012,28.116
1913,21.913
1921,18.357000000000006
1989,4.96
1887,1.967
2010,21.713
1895,19.484
1802,29.329
1934,11.546
1950,20.901
1985,12.718
1969,19.985000000000007
1987,33.139
1818,4.348
1933,4.914999999999999
1911,30.366
1863,3.3920000000000003
1917,16.635
1962,32.172
1911,17.031
1906,5.946000000000001
1992,14.425999999999998
1925,25.864
1857,19.74
1850,24.905
2001,8.958
1888,27.261
1942,-15.828
1781,-4.138999999999999
1966,9.539
1985,17.491
1855,19.883
1862,5.209
1914,1.904
1948,22.83
1818,22.884
1901,27.512
1975,22.235
1886,14.265999999999998
1898,15.574000000000002
1799,28.488000000000003
2011,27.416
1902,24.742
1772,-1.294
1894,23.613000000000003
1912,24.29
1825,25.065
1943,22.168000000000003
1877,20.431
1950,2.518
1840,19.232000000000006
1977,23.875
1919,26.404
1911,22.636
1886,8.397
1991,27.281
1926,24.22
1914,25.7
1936,30.244
1951,24.89
1988,16.14
2013,19.97
1847,30.78
1937,4.58
1973,28.084
1932,5.647
1875,-2.681
1890,30.748
1769,-7.178999999999999
1865,3.099
1887,27.409
1889,6.9990000000000006
1923,26.801
2012,11.355
1984,14.247
1920,24.64
1835,22.104
1971,11.033
1826,24.207
1992,20.171000000000006
1832,21.931
1799,29.305
1956,19.25
1815,14.354
1918,22.964
1953,3.3450000000000006
1906,25.454
1962,26.286
1853,-4.189
1805,26.943
1801,14.934
1976,24.176
1916,25.563
1898,-4.995000000000001
2004,13.95
1805,24.492
1961,28.127
1965,17.338
1884,-1.092
1993,29.05
1752,7.2639999999999985
1867,21.641
1933,27.474
1949,20.72
2007,18.104
1974,20.443
1986,22.583
1866,12.982
1914,30.58
1922,20.98
1830,22.752
1908,25.316
1943,5.9540000000000015
1961,28.091
1884,26.491
1820,31.486
1800,0.0779999999999999
1946,27.397
1979,8.588000000000001
1951,17.671000000000006
1890,-11.36
1972,24.451
1945,27.049
1999,13.895
1914,24.048
2002,28.897
1903,14.069
1984,22.446
1895,32.318000000000005
1958,26.387
1987,19.032
1935,25.321
1839,20.484
1896,15.046
2000,26.052
1867,9.169
1887,31.787
1856,3.919
1974,24.781
1772,16.855
1977,14.683
1934,22.925
1943,11.552
2005,24.608
1930,23.959
1990,26.75
1875,14.702000000000002
1992,28.856
1863,27.206
1866,22.959
1902,20.724
1815,1.739
1836,-7.952999999999999
1961,30.075
1876,29.499
1937,-4.779
1985,3.2790000000000004
1920,15.644
1838,5.35
1865,1.646
1852,-5.507000000000001
1926,13.459
1846,27.436
1966,25.06
1984,13.52
1899,23.022
1990,27.893
1904,24.118
1907,-5.698999999999999
1921,16.921
1860,28.439
1953,28.558000000000003
1950,19.8
1900,28.826
1924,19.269
1998,26.999
1883,19.576
1894,11.64
1845,19.485
1948,26.251
1829,23.791
1903,26.899
1778,1.965
1987,26.261
1817,-1.0739999999999998
1983,1.933
1811,25.091
1955,21.433000000000003
1913,26.727
2008,15.746
1912,20.727
1959,25.228
1964,14.486
2005,12.567
1870,20.525
1935,29.385
1880,21.764
1834,15.017
1977,26.989
2006,5.186999999999999
1768,13.011
1834,27.531
1945,25.526
1892,27.94
1878,27.667
1949,28.382
2007,12.546
1947,26.53700000000001
1884,24.957
1939,12.246
1829,9.882
1878,27.523000000000003
1900,8.697999999999999
1940,25.681
1950,15.435
1857,11.168
1919,24.469
1906,16.014
1950,23.933000000000003
1910,22.781
1855,3.99
1977,26.031
1880,6.832000000000001
1945,22.708
1934,22.654000000000003
1952,30.445
1979,-1.419
1902,15.933
1858,-6.912000000000001
1801,13.539
1910,25.858
1782,23.325
1798,20.354
1944,32.139
1849,16.549
1846,25.724
1978,5.981
1896,24.956
2011,26.902
1948,24.66
1861,25.198
1944,29.37
1949,16.244
1927,15.84
1937,28.766
1803,32.967
1961,6.523
1888,26.806
1846,3.4689999999999994
1916,26.439
1861,23.231
1943,26.709000000000003
1894,20.19100000000001
1902,10.117
1853,13.092
1984,19.929
1857,25.758000000000006
1960,15.806
1943,22.178
1960,5.2170000000000005
1927,19.193
1910,22.52
1932,-0.034
1994,16.609
1799,26.095
1938,-3.3160000000000003
1952,27.195
1875,20.164
1955,24.419
1928,22.565
1893,15.59
1959,27.807
1959,27.496
2012,28.0
1829,28.83
1822,15.086
1921,20.435
1887,20.905
1992,26.943
1889,15.521
1877,33.544999999999995
1892,22.299
1974,-0.982
1906,31.266
1984,14.479
1996,29.683000000000003
1846,25.478
1900,21.748
2002,30.346
1871,15.237000000000002
1993,19.413
1975,26.604
1870,26.395
1851,21.945
2007,21.844
1979,27.653
1913,20.768
1853,10.831
1923,28.699
1935,20.54
1933,14.901
1945,16.809
1927,9.792
1898,26.117
1970,10.841
1901,23.189
1970,23.146
1843,28.452
1977,-7.897
1918,27.917
1762,-0.0380000000000002
1947,22.407
1878,0.331
1883,16.735000000000007
1939,26.78
1879,27.284
1998,24.781
1987,31.9
1961,26.196
1933,17.344
1888,23.097
1850,4.354
1974,26.653
1980,8.577
1842,27.678
1884,22.271
1767,-2.199
1886,29.866000000000003
1885,23.287
1849,13.374
2012,28.025
1854,2.93
2010,25.292
2000,-4.005
1829,26.014
1972,3.516
1821,17.833
1871,6.035
1757,16.072
1986,28.214
1989,22.201
1953,6.769
2005,30.463
1986,13.18
1897,25.211
1897,22.724
1982,18.832
1981,29.472
2007,27.127
2012,11.909
1969,18.149
1982,23.469
1999,29.082
1940,-7.9060000000000015
1961,28.249
2007,10.946
1925,16.575
1979,20.649
1885,17.733
1894,24.93
1858,20.417
1823,25.461
1846,21.418000000000003
2007,25.333
1978,26.357
1844,26.558000000000003
1854,27.501
1854,19.29
1878,24.075
1859,24.332
1897,4.99
1939,19.982
1936,26.924
2003,-14.343000000000002
1883,12.169
1788,3.096
1851,25.704
1867,17.113
1874,28.016
1888,14.456
1892,-2.974
1949,19.991000000000003
2009,11.875
1847,-8.282
1882,4.001
1965,8.72
1892,31.018
1900,24.279
1883,15.377
1944,29.105
1887,23.922
1947,21.365
1986,19.232
1860,25.97600000000001
1935,24.948
1953,19.065
1824,31.821
1911,27.943
1898,8.307
1993,27.195
1855,18.039
1845,24.3
1897,10.986
1873,25.322
2013,0.268
1851,31.601
1907,33.909
1975,29.378
1982,14.725
2002,18.337
1948,19.922
1849,24.117
2001,-0.7210000000000001
1971,25.974
1960,13.148
1929,27.429
2002,25.516
1917,21.701
1840,27.157
1970,22.783
1865,24.993
1945,31.746
1935,25.678
1966,19.42
1920,20.184
1884,3.985
2003,33.902
1920,22.134
1959,1.5119999999999998
1975,11.67
1904,7.651
1824,-0.3620000000000001
1863,29.435
1974,11.553
1911,5.1450000000000005
1877,12.694
1837,18.91
1889,23.967
1860,26.502
1832,16.801
1956,27.248
1817,29.126
2003,27.553
1959,17.829
1930,27.482
1925,16.964000000000002
1882,24.681
1971,22.931
1942,11.138
1984,27.001
1901,11.754
1929,0.6279999999999999
1980,21.751
1965,26.769
1996,-2.346
1930,25.707
1884,16.985000000000007
1885,17.180999999999997
1847,28.69
1941,10.341
1908,27.1
1978,24.032
1896,15.4
1921,9.289
2004,31.688
1961,29.25
1985,27.288
1945,20.275
1980,26.859
1974,12.358
1935,21.523000000000003
1984,23.546
1802,-4.634
1902,19.403
1893,14.321
1771,18.14
1867,2.147
2012,21.043000000000003
1941,18.817
1955,33.739000000000004
1847,13.959
1886,24.969
1920,18.406
1789,1.037
1872,30.826
2004,8.552
1956,4.267
1828,26.685
1985,15.541
1953,23.312
1980,27.247
1934,20.144
1869,3.241
1860,25.111
1984,17.755000000000006
1879,18.044
1912,17.57
1893,3.542
1804,14.987
1989,21.695
1998,12.585
1984,20.949
1912,26.048
1855,25.922
1751,4.189
1869,2.748
1991,17.822000000000006
1824,19.89
2009,32.149
1756,22.016
1851,26.676
1838,13.416
1919,3.503
1814,8.697000000000001
1964,28.715
1886,28.198
1862,-4.51
1866,19.388
1874,26.056
2013,15.57
1910,5.573
1911,16.213
1918,3.941
1882,18.78
1868,4.202
1855,26.045
2000,9.239
1959,20.5
1977,19.439
1948,-5.5360000000000005
1889,24.978
1922,12.046
1854,10.668
1871,33.496
1965,20.152
1800,15.45
1923,12.681
1999,15.768
1863,24.786
1961,22.322
1950,-0.8689999999999998
1946,1.5630000000000002
1931,15.764
1989,22.836
1869,20.75
1853,33.21700000000001
1976,19.484
1924,-3.524
1874,28.044
1941,4.66
1889,16.57
1992,13.062
1955,27.845
1881,26.378
1781,11.413
1977,3.905
1977,26.219
1958,21.127
1941,30.92
1914,29.716
1943,20.354000000000006
1939,24.878
1913,-2.28
1807,26.615
1953,24.867
1926,5.008
1944,27.361
1980,17.688
1958,27.610000000000007
1973,26.59
2011,26.283
1983,7.166
1948,20.461
1943,22.061
1962,28.821
1936,14.679
1845,-17.418
1994,30.069000000000003
1971,26.691
1967,26.969
1912,29.442
1962,-9.208
1989,22.062
1951,24.065
1939,26.44100000000001
1867,26.875
1970,16.178
1933,23.863000000000003
2002,27.527
1990,29.341
1944,27.102
1882,29.576
1938,13.867
1962,11.123
1857,19.881
2012,18.169
1940,16.495
1958,31.859
1936,7.500999999999999
1946,8.626000000000001
2005,16.016
1927,22.044
1889,20.967
1921,21.856
1905,26.321
1864,-3.008
